"MoveNumber","Side","Move","FEN","GameNumber"
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",211
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",212
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",213
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",214
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",215
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",216
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",217
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",218
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",219
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",220
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",221
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",222
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",223
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",224
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",225
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",226
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",227
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",228
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",229
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",230
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",231
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",232
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",233
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",234
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",235
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",236
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",237
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",238
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",239
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",240
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",241
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",242
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",243
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",244
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",245
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",246
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",247
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",248
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",249
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",250
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",251
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",252
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",253
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",254
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",255
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",256
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",257
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",258
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",259
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",260
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",261
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",262
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",263
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",264
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",265
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",266
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",267
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",268
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",269
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",270
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",271
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",272
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",273
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",274
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",275
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",276
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",277
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",278
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",279
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",280
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",281
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",282
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",283
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",284
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",285
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",286
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",287
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",288
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",289
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",290
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",291
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",292
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",293
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",294
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",295
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",296
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",297
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",298
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",299
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",300
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",301
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",302
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",303
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",304
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",305
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",306
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",307
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",308
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",309
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",310
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",311
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",312
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",313
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",314
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",315
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",316
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",317
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",318
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",319
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",320
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",321
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",322
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",323
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",324
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",325
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",326
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",327
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",328
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",329
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",330
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",331
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",332
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",333
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",334
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",335
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",336
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",337
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",338
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",339
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",340
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",341
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",342
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",343
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",344
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",345
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",346
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",347
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",348
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",349
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",350
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",351
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",352
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",353
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",354
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",355
1,"white","c4","rnbqkbnrpppppppp882P58PP1PPPPPRNBQKBNR",356
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",357
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",358
